Subject,Activity,Window,Index
Subject10,Elevator Down,1,0
Subject10,Elevator Down,1,1
Subject10,Elevator Down,1,2
Subject10,Elevator Down,1,3
Subject10,Elevator Down,2,4
Subject10,Elevator Down,2,5
Subject10,Elevator Down,2,6
Subject10,Elevator Down,2,7
Subject10,Elevator Down,3,8
Subject10,Elevator Down,3,9
Subject10,Elevator Down,3,10
Subject10,Elevator Down,3,11
Subject10,Elevator Down,4,12
Subject10,Elevator Down,4,13
Subject10,Elevator Down,4,14
Subject10,Elevator Down,4,15
Subject10,Elevator Down,5,16
Subject10,Elevator Down,5,17
Subject10,Elevator Down,5,18
Subject10,Elevator Down,5,19
Subject10,Elevator Up,1,20
Subject10,Elevator Up,1,21
Subject10,Elevator Up,1,22
Subject10,Elevator Up,1,23
Subject10,Elevator Up,1,24
Subject10,Elevator Up,2,25
Subject10,Elevator Up,2,26
Subject10,Elevator Up,2,27
Subject10,Elevator Up,2,28
Subject10,Elevator Up,3,29
Subject10,Elevator Up,3,30
Subject10,Elevator Up,3,31
Subject10,Elevator Up,3,32
Subject10,Elevator Up,3,33
Subject10,Elevator Up,4,34
Subject10,Elevator Up,4,35
Subject10,Elevator Up,4,36
Subject10,Elevator Up,4,37
Subject10,Elevator Up,5,38
Subject10,Elevator Up,5,39
Subject10,Elevator Up,5,40
Subject10,Elevator Up,5,41
Subject10,Jumping Up,1,42
Subject10,Jumping Up,2,43
Subject10,Jumping Up,3,44
Subject10,Jumping Up,4,45
Subject10,Jumping Up,5,46
Subject10,Running Forward,1,47
Subject10,Running Forward,1,48
Subject10,Running Forward,1,49
Subject10,Running Forward,1,50
Subject10,Running Forward,1,51
Subject10,Running Forward,2,52
Subject10,Running Forward,2,53
Subject10,Running Forward,2,54
Subject10,Running Forward,2,55
Subject10,Running Forward,3,56
Subject10,Running Forward,3,57
Subject10,Running Forward,3,58
Subject10,Running Forward,3,59
Subject10,Running Forward,3,60
Subject10,Running Forward,4,61
Subject10,Running Forward,4,62
Subject10,Running Forward,4,63
Subject10,Running Forward,4,64
Subject10,Running Forward,4,65
Subject10,Running Forward,5,66
Subject10,Running Forward,5,67
Subject10,Running Forward,5,68
Subject10,Running Forward,5,69
Subject10,Running Forward,5,70
Subject10,Sitting,1,71
Subject10,Sitting,1,72
Subject10,Sitting,1,73
Subject10,Sitting,1,74
Subject10,Sitting,1,75
Subject10,Sitting,2,76
Subject10,Sitting,2,77
Subject10,Sitting,2,78
Subject10,Sitting,2,79
Subject10,Sitting,2,80
Subject10,Sitting,2,81
Subject10,Sitting,2,82
Subject10,Sitting,2,83
Subject10,Sitting,3,84
Subject10,Sitting,3,85
Subject10,Sitting,3,86
Subject10,Sitting,3,87
Subject10,Sitting,3,88
Subject10,Sitting,3,89
Subject10,Sitting,4,90
Subject10,Sitting,4,91
Subject10,Sitting,4,92
Subject10,Sitting,4,93
Subject10,Sitting,4,94
Subject10,Sitting,4,95
Subject10,Sitting,5,96
Subject10,Sitting,5,97
Subject10,Sitting,5,98
Subject10,Sitting,5,99
Subject10,Sitting,5,100
Subject10,Sitting,5,101
Subject10,Sleeping,1,102
Subject10,Sleeping,1,103
Subject10,Sleeping,1,104
Subject10,Sleeping,1,105
Subject10,Sleeping,1,106
Subject10,Sleeping,1,107
Subject10,Sleeping,1,108
Subject10,Sleeping,1,109
Subject10,Sleeping,2,110
Subject10,Sleeping,2,111
Subject10,Sleeping,2,112
Subject10,Sleeping,2,113
Subject10,Sleeping,2,114
Subject10,Sleeping,2,115
Subject10,Sleeping,2,116
Subject10,Sleeping,2,117
Subject10,Sleeping,3,118
Subject10,Sleeping,3,119
Subject10,Sleeping,3,120
Subject10,Sleeping,3,121
Subject10,Sleeping,3,122
Subject10,Sleeping,3,123
Subject10,Sleeping,3,124
Subject10,Sleeping,3,125
Subject10,Sleeping,4,126
Subject10,Sleeping,4,127
Subject10,Sleeping,4,128
Subject10,Sleeping,4,129
Subject10,Sleeping,4,130
Subject10,Sleeping,4,131
Subject10,Sleeping,4,132
Subject10,Sleeping,4,133
Subject10,Sleeping,5,134
Subject10,Sleeping,5,135
Subject10,Sleeping,5,136
Subject10,Sleeping,5,137
Subject10,Sleeping,5,138
Subject10,Sleeping,5,139
Subject10,Sleeping,5,140
Subject10,Sleeping,5,141
Subject10,Standing,1,142
Subject10,Standing,1,143
Subject10,Standing,1,144
Subject10,Standing,1,145
Subject10,Standing,1,146
Subject10,Standing,1,147
Subject10,Standing,2,148
Subject10,Standing,2,149
Subject10,Standing,2,150
Subject10,Standing,2,151
Subject10,Standing,2,152
Subject10,Standing,2,153
Subject10,Standing,3,154
Subject10,Standing,3,155
Subject10,Standing,3,156
Subject10,Standing,3,157
Subject10,Standing,3,158
Subject10,Standing,3,159
Subject10,Standing,4,160
Subject10,Standing,4,161
Subject10,Standing,4,162
Subject10,Standing,4,163
Subject10,Standing,4,164
Subject10,Standing,4,165
Subject10,Standing,5,166
Subject10,Standing,5,167
Subject10,Standing,5,168
Subject10,Standing,5,169
Subject10,Standing,5,170
Subject10,Standing,5,171
Subject10,Walking Downstairs,1,172
Subject10,Walking Downstairs,1,173
Subject10,Walking Downstairs,1,174
Subject10,Walking Downstairs,1,175
Subject10,Walking Downstairs,1,176
Subject10,Walking Downstairs,1,177
Subject10,Walking Downstairs,1,178
Subject10,Walking Downstairs,1,179
Subject10,Walking Downstairs,2,180
Subject10,Walking Downstairs,2,181
Subject10,Walking Downstairs,2,182
Subject10,Walking Downstairs,2,183
Subject10,Walking Downstairs,2,184
Subject10,Walking Downstairs,2,185
Subject10,Walking Downstairs,2,186
Subject10,Walking Downstairs,2,187
Subject10,Walking Downstairs,3,188
Subject10,Walking Downstairs,3,189
Subject10,Walking Downstairs,3,190
Subject10,Walking Downstairs,3,191
Subject10,Walking Downstairs,3,192
Subject10,Walking Downstairs,3,193
Subject10,Walking Downstairs,3,194
Subject10,Walking Downstairs,3,195
Subject10,Walking Downstairs,3,196
Subject10,Walking Downstairs,3,197
Subject10,Walking Downstairs,4,198
Subject10,Walking Downstairs,4,199
Subject10,Walking Downstairs,4,200
Subject10,Walking Downstairs,4,201
Subject10,Walking Downstairs,4,202
