Activity,Start time,Duration,Number of interruptions,Duration of interruptions,Day of activity,Weekend or weekday,Start time short
Sleep,2011-06-15 00:09:38,371.5,1,2.51666666666668,Wednesday,0,00:09:38
Personal_Hygiene,2011-06-15 06:24:16,13.283333333333333,0,0.0,Wednesday,0,06:24:16
Dress,2011-06-15 06:39:01,9.283333333333333,0,0.0,Wednesday,0,06:39:01
Other_Activity,2011-06-15 06:48:51,1.5666666666666667,0,0.0,Wednesday,0,06:48:51
Cook_Breakfast,2011-06-15 06:50:31,4.933333333333334,0,0.0,Wednesday,0,06:50:31
Eat_Breakfast,2011-06-15 06:56:11,26.933333333333334,0,0.0,Wednesday,0,06:56:11
Wash_Breakfast_Dishes,2011-06-15 07:23:16,1.85,0,0.0,Wednesday,0,07:23:16
Read,2011-06-15 07:25:19,68.25,0,0.0,Wednesday,0,07:25:19
Toilet,2011-06-15 08:34:00,1.7333333333333334,0,0.0,Wednesday,0,08:34:00
Other_Activity,2011-06-15 08:36:37,407.05,0,0.0,Wednesday,0,08:36:37
Toilet,2011-06-15 15:24:09,1.0333333333333334,0,0.0,Wednesday,0,15:24:09
Work_On_Computer,2011-06-15 15:26:12,17.066666666666666,0,0.0,Wednesday,0,15:26:12
Work_On_Computer,2011-06-15 15:43:44,44.81666666666667,0,0.0,Wednesday,0,15:43:44
Cook,2011-06-15 16:28:42,3.7333333333333334,0,0.0,Wednesday,0,16:28:42
Eat,2011-06-15 16:33:02,8.166666666666666,0,0.0,Wednesday,0,16:33:02
Other_Activity,2011-06-15 16:41:12,5.016666666666667,0,0.0,Wednesday,0,16:41:12
Work_On_Computer,2011-06-15 16:46:13,18.366666666666667,0,0.0,Wednesday,0,16:46:13
Drink,2011-06-15 17:04:49,1.15,0,0.0,Wednesday,0,17:04:49
Work_On_Computer,2011-06-15 17:06:06,14.633333333333333,0,0.0,Wednesday,0,17:06:06
Other_Activity,2011-06-15 17:21:12,1.6166666666666667,0,0.0,Wednesday,0,17:21:12
Work_On_Computer,2011-06-15 17:23:11,29.683333333333334,0,0.0,Wednesday,0,17:23:11
Cook_Dinner,2011-06-15 17:53:00,5.0,0,0.0,Wednesday,0,17:53:00
Cook_Dinner,2011-06-15 17:58:56,1.7333333333333334,0,0.0,Wednesday,0,17:58:56
Eat_Dinner,2011-06-15 18:02:15,15.033333333333333,0,0.0,Wednesday,0,18:02:15
Wash_Dinner_Dishes,2011-06-15 18:17:24,1.3666666666666667,0,0.0,Wednesday,0,18:17:24
Other_Activity,2011-06-15 18:19:39,3.683333333333333,0,0.0,Wednesday,0,18:19:39
Read,2011-06-15 18:23:20,13.316666666666666,0,0.0,Wednesday,0,18:23:20
Wash_Dinner_Dishes,2011-06-15 18:36:45,1.5166666666666666,0,0.0,Wednesday,0,18:36:45
Watch_TV,2011-06-15 18:38:22,34.766666666666666,0,0.0,Wednesday,0,18:38:22
Other_Activity,2011-06-15 19:13:08,1.8166666666666667,0,0.0,Wednesday,0,19:13:08
Toilet,2011-06-15 19:15:01,3.45,0,0.0,Wednesday,0,19:15:01
Work_At_Desk,2011-06-15 19:18:49,4.516666666666667,0,0.0,Wednesday,0,19:18:49
Leave_Home,2011-06-15 19:23:30,1.8,0,0.0,Wednesday,0,19:23:30
Other_Activity,2011-06-15 19:25:18,70.55,0,0.0,Wednesday,0,19:25:18
Work_On_Computer,2011-06-15 20:36:05,32.11666666666667,0,0.0,Wednesday,0,20:36:05
Groom,2011-06-15 21:08:33,10.333333333333334,0,0.0,Wednesday,0,21:08:33
Work_On_Computer,2011-06-15 21:19:35,13.0,0,0.0,Wednesday,0,21:19:35
