Activity,Duration,Number of interruptions,Duration of interruptions,Day of activity,Weekend or weekday,Start time short,normality_score
Sleep,371.5,1,2.51666666666668,Wednesday,0,00:09:38,-0.9305222425712167
Personal_Hygiene,13.283333333333331,0,0.0,Wednesday,0,06:24:16,0.269272191258711
Dress,9.283333333333331,0,0.0,Wednesday,0,06:39:01,0.47839067604471225
Other_Activity,1.5666666666666669,0,0.0,Wednesday,0,06:48:51,0.5596043449149696
Cook_Breakfast,4.933333333333334,0,0.0,Wednesday,0,06:50:31,0.5955758088909837
Eat_Breakfast,26.933333333333334,0,0.0,Wednesday,0,06:56:11,0.582492496679672
Wash_Breakfast_Dishes,1.85,0,0.0,Wednesday,0,07:23:16,0.6026038577528745
Read,68.25,0,0.0,Wednesday,0,07:25:19,0.39879833041214446
Toilet,1.7333333333333334,0,0.0,Wednesday,0,08:34:00,0.5776515928804765
Other_Activity,407.05,0,0.0,Wednesday,0,08:36:37,-0.968227580049541
Toilet,1.0333333333333334,0,0.0,Wednesday,0,15:24:09,0.4714732322604296
Work_On_Computer,17.066666666666666,0,0.0,Wednesday,0,15:26:12,0.488822899650882
Work_On_Computer,44.81666666666667,0,0.0,Wednesday,0,15:43:44,0.38804065501703533
Cook,3.733333333333333,0,0.0,Wednesday,0,16:28:42,0.5417119225702834
Eat,8.166666666666666,0,0.0,Wednesday,0,16:33:02,0.5348221006094078
Other_Activity,5.016666666666667,0,0.0,Wednesday,0,16:41:12,0.41237613145558993
Work_On_Computer,18.366666666666667,0,0.0,Wednesday,0,16:46:13,0.5577171073695006
Drink,1.15,0,0.0,Wednesday,0,17:04:49,0.6807256182851145
Work_On_Computer,14.633333333333333,0,0.0,Wednesday,0,17:06:06,0.6714968755161348
Other_Activity,1.6166666666666667,0,0.0,Wednesday,0,17:21:12,0.5263130047156679
Work_On_Computer,29.683333333333334,0,0.0,Wednesday,0,17:23:11,0.6368691718762916
Cook_Dinner,5.0,0,0.0,Wednesday,0,17:53:00,0.6546536543633694
Cook_Dinner,1.7333333333333334,0,0.0,Wednesday,0,17:58:56,0.6506075971675775
Eat_Dinner,15.033333333333331,0,0.0,Wednesday,0,18:02:15,0.6441167514020281
Wash_Dinner_Dishes,1.3666666666666667,0,0.0,Wednesday,0,18:17:24,0.6937475156431102
Other_Activity,3.683333333333333,0,0.0,Wednesday,0,18:19:39,0.5607864073521356
Read,13.316666666666666,0,0.0,Wednesday,0,18:23:20,0.6543514242332105
Wash_Dinner_Dishes,1.5166666666666666,0,0.0,Wednesday,0,18:36:45,0.6975941264068285
Watch_TV,34.766666666666666,0,0.0,Wednesday,0,18:38:22,0.5512753862279958
Other_Activity,1.8166666666666669,0,0.0,Wednesday,0,19:13:08,0.5777565706299332
Toilet,3.45,0,0.0,Wednesday,0,19:15:01,0.7215512774073206
Work_At_Desk,4.516666666666667,0,0.0,Wednesday,0,19:18:49,0.7148999046782155
Leave_Home,1.8,0,0.0,Wednesday,0,19:23:30,0.6782209764675052
Other_Activity,70.55,0,0.0,Wednesday,0,19:25:18,0.33806285776750833
Work_On_Computer,32.11666666666667,0,0.0,Wednesday,0,20:36:05,0.700216651520428
Groom,10.333333333333334,0,0.0,Wednesday,0,21:08:33,0.5666979272045032
Work_On_Computer,13.0,0,0.0,Wednesday,0,21:19:35,0.7490478593090484
Work_On_Computer,73.36666666666666,0,0.0,Wednesday,0,21:34:01,0.5428234132328676
Work_On_Computer,10.683333333333334,0,0.0,Wednesday,0,22:47:58,0.7557205847570078
Read,8.733333333333333,0,0.0,Wednesday,0,22:58:59,0.7168593153979614
Dress,1.7833333333333334,0,0.0,Wednesday,0,23:08:32,0.4489997947659755
Sleep,451.05,1,2.933333333333337,Wednesday,0,23:11:15,-1.1985505014471984
Personal_Hygiene,11.8,0,0.0,Thursday,0,06:46:08,0.2141056073860624
Bathe,7.866666666666666,0,0.0,Thursday,0,06:57:56,0.42259583761617103
Groom,5.65,0,0.0,Thursday,0,07:06:27,0.46003021031238733
Dress,3.3666666666666667,0,0.0,Thursday,0,07:12:28,0.33973930568839367
Morning_Meds,2.1666666666666665,0,0.0,Thursday,0,07:16:01,0.35936087334030026
Drink,1.1166666666666667,0,0.0,Thursday,0,07:18:45,0.48254452024299394
Read,2.183333333333333,0,0.0,Thursday,0,07:20:31,0.573508261143723
Other_Activity,1.8666666666666667,0,0.0,Thursday,0,07:22:42,0.439059731286556
Dress,1.5666666666666669,0,0.0,Thursday,0,07:24:56,0.3043811986548989
Cook_Breakfast,3.3833333333333333,0,0.0,Thursday,0,07:26:37,0.45947922341928565
Eat_Breakfast,7.2,0,0.0,Thursday,0,07:30:52,0.511055205382934
Read,62.083333333333336,0,0.0,Thursday,0,07:38:04,0.3691742102801988
Toilet,3.85,0,0.0,Thursday,0,08:40:50,0.5358677254076517
Other_Activity,1.4333333333333331,0,0.0,Thursday,0,08:47:26,0.37524123185054015
Read,11.633333333333333,0,0.0,Thursday,0,08:49:54,0.5039840107232345
Other_Activity,1.2,0,0.0,Thursday,0,09:02:34,0.3340417612624119
Other_Activity,208.03333333333333,0,0.0,Thursday,0,09:04:10,-0.7665137211537574
Drink,1.8166666666666669,0,0.0,Thursday,0,12:33:57,0.14466681536078257
Work_On_Computer,7.15,0,0.0,Thursday,0,12:36:24,0.12188735729582831
Work_On_Computer,9.65,0,0.0,Thursday,0,12:44:46,0.11640272299853337
Work_On_Computer,28.23333333333333,0,0.0,Thursday,0,12:55:17,0.04403835658428162
Work_On_Computer,30.8,0,0.0,Thursday,0,13:24:32,0.26686165959834107
Work_On_Computer,35.53333333333333,0,0.0,Thursday,0,13:56:32,0.19237897284957411
Personal_Hygiene,2.0,0,0.0,Thursday,0,14:32:48,-0.01211508624346061
Other_Activity,3.5166666666666666,0,0.0,Thursday,0,14:34:48,0.2197036787752482
Personal_Hygiene,10.816666666666666,0,0.0,Thursday,0,14:38:23,-0.057095811385504076
Work_At_Desk,3.616666666666666,0,0.0,Thursday,0,14:50:37,0.3929149965429648
Other_Activity,69.33333333333333,0,0.0,Thursday,0,14:55:39,-0.07271895957832501
Work_On_Computer,36.516666666666666,0,0.0,Thursday,0,16:05:16,0.5577660678778964
Other_Activity,2.65,0,0.0,Thursday,0,16:41:50,0.39911090116522574
Toilet,1.05,0,0.0,Thursday,0,16:45:07,0.5086836723238344
Step_Out,3.283333333333333,0,0.0,Thursday,0,16:46:32,0.33733359467649016
Leave_Home,2.033333333333333,0,0.0,Thursday,0,16:50:18,0.5470105353257984
Other_Activity,325.06666666666666,0,0.0,Thursday,0,16:52:20,-1.1559800071786084
Work_On_Computer,35.9,0,0.0,Thursday,0,22:18:49,0.6381869029698166
Other_Activity,1.7666666666666666,0,0.0,Thursday,0,22:56:30,0.5565345880935804
Dress,3.533333333333333,0,0.0,Thursday,0,22:58:16,0.4443184082645174
