Activity,Duration,Day of activity,Weekend or weekday,Start time short,normality_score
Personal_Hygiene,13.283333333333331,Wednesday,0,06:24:16,0.2371847335867816
Dress,9.283333333333331,Wednesday,0,06:39:01,0.39131781921989295
Other_Activity,1.5666666666666669,Wednesday,0,06:48:51,0.4868592310578975
Cook_Breakfast,4.933333333333334,Wednesday,0,06:50:31,0.5006685463697835
Eat_Breakfast,26.933333333333334,Wednesday,0,06:56:11,0.5369591768857367
Wash_Breakfast_Dishes,1.85,Wednesday,0,07:23:16,0.5401844983704105
Read,68.25,Wednesday,0,07:25:19,0.3853243008774425
Toilet,1.7333333333333334,Wednesday,0,08:34:00,0.5225328307928323
Other_Activity,407.05,Wednesday,0,08:36:37,-1.7926252654116654
Toilet,1.0333333333333334,Wednesday,0,15:24:09,0.5035946026554843
Work_On_Computer,17.066666666666666,Wednesday,0,15:26:12,0.5262644733531681
Work_On_Computer,44.81666666666667,Wednesday,0,15:43:44,0.3831825841133715
Cook,3.733333333333333,Wednesday,0,16:28:42,0.5789353373437403
Eat,8.166666666666666,Wednesday,0,16:33:02,0.565991225593923
Other_Activity,5.016666666666667,Wednesday,0,16:41:12,0.44589558685020236
Work_On_Computer,18.366666666666667,Wednesday,0,16:46:13,0.5871487149275958
Drink,1.15,Wednesday,0,17:04:49,0.6317382539128723
Work_On_Computer,14.633333333333333,Wednesday,0,17:06:06,0.6808595658239542
Other_Activity,1.6166666666666667,Wednesday,0,17:21:12,0.5246295809303094
Work_On_Computer,29.683333333333334,Wednesday,0,17:23:11,0.6223754988959799
Cook_Dinner,5.0,Wednesday,0,17:53:00,0.5719837085567421
Cook_Dinner,1.7333333333333334,Wednesday,0,17:58:56,0.5745017075025217
Eat_Dinner,15.033333333333331,Wednesday,0,18:02:15,0.6326427025099184
Wash_Dinner_Dishes,1.3666666666666667,Wednesday,0,18:17:24,0.6265615356332391
Other_Activity,3.683333333333333,Wednesday,0,18:19:39,0.5698576340874881
Read,13.316666666666666,Wednesday,0,18:23:20,0.6322140033266881
Wash_Dinner_Dishes,1.5166666666666666,Wednesday,0,18:36:45,0.6259535831871155
Watch_TV,34.766666666666666,Wednesday,0,18:38:22,0.5311585138083952
Other_Activity,1.8166666666666669,Wednesday,0,19:13:08,0.5757311513544132
Toilet,3.45,Wednesday,0,19:15:01,0.7110202699252535
Work_At_Desk,4.516666666666667,Wednesday,0,19:18:49,0.6480598175911578
Leave_Home,1.8,Wednesday,0,19:23:30,0.6582485537431839
Other_Activity,70.55,Wednesday,0,19:25:18,0.39403968604782436
Work_On_Computer,32.11666666666667,Wednesday,0,20:36:05,0.7302724096345988
Groom,10.333333333333334,Wednesday,0,21:08:33,0.5835746888499279
Work_On_Computer,13.0,Wednesday,0,21:19:35,0.7609649903986158
Work_On_Computer,73.36666666666666,Wednesday,0,21:34:01,0.5778059743462534
Work_On_Computer,10.683333333333334,Wednesday,0,22:47:58,0.7766243394394394
Read,8.733333333333333,Wednesday,0,22:58:59,0.6808374669434647
Dress,1.7833333333333334,Wednesday,0,23:08:32,0.4120455521337823
Personal_Hygiene,11.8,Thursday,0,06:46:08,0.15897004553475363
Bathe,7.866666666666666,Thursday,0,06:57:56,0.25101821156927717
Groom,5.65,Thursday,0,07:06:27,0.29059944341725763
Dress,3.3666666666666667,Thursday,0,07:12:28,0.36604818975189957
Morning_Meds,2.1666666666666665,Thursday,0,07:16:01,0.2123096947434808
Drink,1.1166666666666667,Thursday,0,07:18:45,0.44165464071905447
Read,2.183333333333333,Thursday,0,07:20:31,0.49808929087864423
Other_Activity,1.8666666666666667,Thursday,0,07:22:42,0.4669088348607359
Dress,1.5666666666666669,Thursday,0,07:24:56,0.3485267733093021
Cook_Breakfast,3.3833333333333333,Thursday,0,07:26:37,0.47599845303082255
Eat_Breakfast,7.2,Thursday,0,07:30:52,0.4730349259021882
Read,62.083333333333336,Thursday,0,07:38:04,0.3744475817423698
Toilet,3.85,Thursday,0,08:40:50,0.4967732132477016
Other_Activity,1.4333333333333331,Thursday,0,08:47:26,0.4009028270801772
Read,11.633333333333333,Thursday,0,08:49:54,0.438041973943433
Other_Activity,1.2,Thursday,0,09:02:34,0.3785263036473739
Other_Activity,208.03333333333333,Thursday,0,09:04:10,-0.587409583043015
Drink,1.8166666666666669,Thursday,0,12:33:57,0.18703232670865466
Work_On_Computer,7.15,Thursday,0,12:36:24,0.2167167614753182
Work_On_Computer,9.65,Thursday,0,12:44:46,0.19805915500819987
Work_On_Computer,28.23333333333333,Thursday,0,12:55:17,0.17126501133499955
Work_On_Computer,30.8,Thursday,0,13:24:32,0.3239595114772848
Work_On_Computer,35.53333333333333,Thursday,0,13:56:32,0.26077492877940467
Personal_Hygiene,2.0,Thursday,0,14:32:48,-0.01643105152775054
Other_Activity,3.5166666666666666,Thursday,0,14:34:48,0.27990440521934745
Personal_Hygiene,10.816666666666666,Thursday,0,14:38:23,-0.04612607683550975
Work_At_Desk,3.616666666666666,Thursday,0,14:50:37,0.32635474854268043
Other_Activity,69.33333333333333,Thursday,0,14:55:39,0.02866068929334947
Work_On_Computer,36.516666666666666,Thursday,0,16:05:16,0.5478649850446136
Other_Activity,2.65,Thursday,0,16:41:50,0.4105262037914161
Toilet,1.05,Thursday,0,16:45:07,0.5093679781688562
Step_Out,3.283333333333333,Thursday,0,16:46:32,0.27406936705123214
Leave_Home,2.033333333333333,Thursday,0,16:50:18,0.49952743438562686
Other_Activity,325.06666666666666,Thursday,0,16:52:20,-1.5762552641517775
Work_On_Computer,35.9,Thursday,0,22:18:49,0.6424311784265508
Other_Activity,1.7666666666666666,Thursday,0,22:56:30,0.5677238696691742
Dress,3.533333333333333,Thursday,0,22:58:16,0.4404323404744661
Other_Activity,1.9,Friday,0,07:02:42,0.26613661817795853
Personal_Hygiene,5.566666666666666,Friday,0,07:04:36,0.021629515891254204
Morning_Meds,1.5666666666666669,Friday,0,07:10:10,-0.11382508684012554
Cook_Breakfast,5.2,Friday,0,07:11:48,0.2643523550741347
Other_Activity,3.15,Friday,0,07:17:00,0.28228705446513724
Eat_Breakfast,4.766666666666667,Friday,0,07:23:03,0.27471645803409644
Toilet,1.25,Friday,0,07:27:59,0.297087796954817
Work_On_Computer,73.68333333333334,Friday,0,07:29:21,0.06412029115048434
Other_Activity,3.2333333333333334,Friday,0,08:43:02,0.24102839876013388
Read,6.283333333333333,Friday,0,08:47:59,0.22333943233839576
Leave_Home,1.2,Friday,0,08:54:23,-0.040824151509112665
Other_Activity,63.3,Friday,0,08:55:35,0.06468229978141146
Other_Activity,1.5833333333333333,Friday,0,10:00:04,0.1478747019906565
Personal_Hygiene,4.966666666666667,Friday,0,10:01:47,-0.09871704647033297
Dress,3.8,Friday,0,10:07:04,0.04351799568200347
