Date,Day of activity,Weekend or weekday,Total Personal_Hygiene duration,Total Personal_Hygiene frequency,Total Dress duration,Total Dress frequency,Total Cook_Breakfast duration,Total Cook_Breakfast frequency,Total Eat_Breakfast duration,Total Eat_Breakfast frequency,Total Wash_Breakfast_Dishes duration,Total Wash_Breakfast_Dishes frequency,Total Read duration,Total Read frequency,Total Toilet duration,Total Toilet frequency,Total Work_On_Computer duration,Total Work_On_Computer frequency,Total Drink duration,Total Drink frequency,Total Cook_Dinner duration,Total Cook_Dinner frequency,Total Eat_Dinner duration,Total Eat_Dinner frequency,Total Wash_Dinner_Dishes duration,Total Wash_Dinner_Dishes frequency,Total Watch_TV duration,Total Watch_TV frequency,Total Work_At_Desk duration,Total Work_At_Desk frequency,Total Leave_Home duration,Total Leave_Home frequency,Total Groom duration,Total Groom frequency,Total Bathe duration,Total Bathe frequency,Total Step_Out duration,Total Step_Out frequency,Total Cook_Lunch duration,Total Cook_Lunch frequency,Total Eat_Lunch duration,Total Eat_Lunch frequency,Total Evening_Meds duration,Total Evening_Meds frequency,Total Wash_Dishes duration,Total Wash_Dishes frequency,Total Entertain_Guests duration,Total Entertain_Guests frequency,Total Work duration,Total Work frequency
2011-06-15,Wednesday,Weekday,13.283333333333331,1,11.066666666666665,2,4.933333333333334,1,26.933333333333334,1,1.85,1,90.3,3,6.216666666666667,3,253.73333333333335,9,1.15,1,6.733333333333333,2,15.033333333333331,1,2.8833333333333333,2,34.766666666666666,1,4.516666666666667,1,1.8,1,10.333333333333334,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2011-06-16,Thursday,Weekday,24.616666666666667,3,8.466666666666667,3,3.3833333333333333,1,7.2,1,0.0,0,75.9,3,4.9,2,183.78333333333333,7,2.9333333333333336,2,0.0,0,0.0,0,0.0,0,0.0,0,3.6166666666666663,1,2.033333333333333,1,5.65,1,7.866666666666666,1,3.283333333333333,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2011-06-17,Friday,Weekday,10.533333333333333,2,3.8,1,5.2,1,4.766666666666667,1,0.0,0,54.95,4,3.9333333333333336,3,455.8833333333333,7,4.833333333333334,3,4.816666666666666,2,3.5999999999999996,2,0.0,0,10.2,2,13.05,2,6.283333333333333,3,5.35,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2011-06-18,Saturday,Weekend,18.56666666666667,2,16.833333333333332,4,4.033333333333333,1,10.45,1,5.3,3,221.05,2,6.233333333333333,3,292.3166666666666,11,1.25,1,0.0,0,0.0,0,0.0,0,11.283333333333331,1,6.033333333333333,1,0.0,0,1.8666666666666667,1,0.0,0,0.0,0,5.166666666666666,2,9.6,1,0.0,0,0.0,0,0.0,0,0.0,0
2011-06-19,Sunday,Weekend,2.3,2,13.016666666666666,4,0.0,0,0.0,0,0.0,0,9.2,1,5.133333333333333,3,309.8833333333333,8,2.8166666666666664,2,4.966666666666667,1,1.3166666666666669,1,1.0333333333333334,1,7.9,1,6.633333333333334,1,2.4,1,7.4,2,9.4,1,0.0,0,3.3833333333333333,1,14.033333333333331,1,1.1333333333333333,1,0.0,0,0.0,0,0.0,0
2011-06-20,Monday,Weekday,12.75,2,16.566666666666666,5,5.233333333333333,1,9.133333333333333,1,0.0,0,103.6,3,10.5,4,143.03333333333333,6,4.283333333333333,3,0.0,0,0.0,0,0.0,0,0.0,0,11.883333333333333,1,4.333333333333334,3,3.1666666666666665,1,0.0,0,4.233333333333333,1,0.0,0,0.0,0,1.0166666666666666,1,0.0,0,0.0,0,0.0,0
2011-06-21,Tuesday,Weekday,11.033333333333333,2,13.166666666666666,4,12.833333333333334,1,12.666666666666666,1,0.0,0,63.43333333333333,1,7.983333333333333,4,101.75,4,0.0,0,0.0,0,0.0,0,0.0,0,122.21666666666668,1,0.0,0,10.283333333333333,3,10.133333333333333,2,6.6,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2011-06-22,Wednesday,Weekday,10.333333333333332,2,13.649999999999999,2,7.483333333333333,2,15.45,1,0.0,0,49.43333333333333,1,4.533333333333333,2,96.6,4,3.4833333333333334,1,2.75,1,9.316666666666666,1,0.0,0,40.1,3,0.0,0,4.6,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2011-06-23,Thursday,Weekday,8.6,2,8.0,2,1.7333333333333334,1,8.533333333333333,1,0.0,0,101.61666666666666,1,6.4833333333333325,3,164.58333333333331,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.7,1,4.016666666666667,2,3.733333333333333,1,6.15,1,0.0,0,0.0,0,0.0,0,3.2333333333333334,1,0.0,0,0.0,0,0.0,0
2011-06-24,Friday,Weekday,21.333333333333336,5,15.0,5,4.033333333333333,2,15.9,1,0.0,0,48.83333333333333,3,5.983333333333334,4,335.2166666666666,9,2.5,1,0.0,0,0.0,0,0.0,0,17.516666666666666,1,10.883333333333333,2,10.799999999999999,4,0.0,0,0.0,0,3.7,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
