Activity,Start time,Duration,Number of interruptions,Duration of interruptions,Day of activity,Weekend or weekday
Sleep,2011-06-15 00:09:38,371.5,1,2.5166666666666666,Wednesday,0
Personal_Hygiene,2011-06-15 06:24:16,13.283333333333333,0,0.0,Wednesday,0
Dress,2011-06-15 06:39:01,9.283333333333333,0,0.0,Wednesday,0
Other_Activity,2011-06-15 06:48:51,1.5666666666666667,0,0.0,Wednesday,0
Cook_Breakfast,2011-06-15 06:50:31,4.933333333333334,0,0.0,Wednesday,0
Eat_Breakfast,2011-06-15 06:56:11,26.933333333333334,0,0.0,Wednesday,0
Wash_Breakfast_Dishes,2011-06-15 07:23:16,1.85,0,0.0,Wednesday,0
Read,2011-06-15 07:25:19,68.25,0,0.0,Wednesday,0
Toilet,2011-06-15 08:34:00,1.7333333333333334,0,0.0,Wednesday,0
Other_Activity,2011-06-15 08:36:37,407.05,0,0.0,Wednesday,0
Toilet,2011-06-15 15:24:09,1.0333333333333334,0,0.0,Wednesday,0
Work_On_Computer,2011-06-15 15:26:12,17.066666666666666,0,0.0,Wednesday,0
Work_On_Computer,2011-06-15 15:43:44,44.81666666666667,0,0.0,Wednesday,0
Cook,2011-06-15 16:28:42,3.7333333333333334,0,0.0,Wednesday,0
Eat,2011-06-15 16:33:02,8.166666666666666,0,0.0,Wednesday,0
Other_Activity,2011-06-15 16:41:12,5.016666666666667,0,0.0,Wednesday,0
Work_On_Computer,2011-06-15 16:46:13,18.366666666666667,0,0.0,Wednesday,0
Drink,2011-06-15 17:04:49,1.15,0,0.0,Wednesday,0
Work_On_Computer,2011-06-15 17:06:06,14.633333333333333,0,0.0,Wednesday,0
Other_Activity,2011-06-15 17:21:12,1.6166666666666667,0,0.0,Wednesday,0
Work_On_Computer,2011-06-15 17:23:11,29.683333333333334,0,0.0,Wednesday,0
Cook_Dinner,2011-06-15 17:53:00,5.0,0,0.0,Wednesday,0
Cook_Dinner,2011-06-15 17:58:56,1.7333333333333334,0,0.0,Wednesday,0
Eat_Dinner,2011-06-15 18:02:15,15.033333333333333,0,0.0,Wednesday,0
Wash_Dinner_Dishes,2011-06-15 18:17:24,1.3666666666666667,0,0.0,Wednesday,0
Other_Activity,2011-06-15 18:19:39,3.683333333333333,0,0.0,Wednesday,0
Read,2011-06-15 18:23:20,13.316666666666666,0,0.0,Wednesday,0
Wash_Dinner_Dishes,2011-06-15 18:36:45,1.5166666666666666,0,0.0,Wednesday,0
Watch_TV,2011-06-15 18:38:22,34.766666666666666,0,0.0,Wednesday,0
Other_Activity,2011-06-15 19:13:08,1.8166666666666667,0,0.0,Wednesday,0
Toilet,2011-06-15 19:15:01,3.45,0,0.0,Wednesday,0
Work_At_Desk,2011-06-15 19:18:49,4.516666666666667,0,0.0,Wednesday,0
Leave_Home,2011-06-15 19:23:30,1.8,0,0.0,Wednesday,0
Other_Activity,2011-06-15 19:25:18,70.55,0,0.0,Wednesday,0
Work_On_Computer,2011-06-15 20:36:05,32.11666666666667,0,0.0,Wednesday,0
Groom,2011-06-15 21:08:33,10.333333333333334,0,0.0,Wednesday,0
Work_On_Computer,2011-06-15 21:19:35,13.0,0,0.0,Wednesday,0
Work_On_Computer,2011-06-15 21:34:01,73.36666666666666,0,0.0,Wednesday,0
Work_On_Computer,2011-06-15 22:47:58,10.683333333333334,0,0.0,Wednesday,0
Read,2011-06-15 22:58:59,8.733333333333333,0,0.0,Wednesday,0
Dress,2011-06-15 23:08:32,1.7833333333333334,0,0.0,Wednesday,0
Sleep,2011-06-15 23:11:15,451.05,1,2.933333333333333,Wednesday,0
Personal_Hygiene,2011-06-16 06:46:08,11.8,0,0.0,Thursday,0
Bathe,2011-06-16 06:57:56,7.866666666666666,0,0.0,Thursday,0
Groom,2011-06-16 07:06:27,5.65,0,0.0,Thursday,0
Dress,2011-06-16 07:12:28,3.3666666666666667,0,0.0,Thursday,0
Morning_Meds,2011-06-16 07:16:01,2.1666666666666665,0,0.0,Thursday,0
