Activity,Start time,Duration,Day of activity,Weekend or weekday
-1.139558131237000227e+00,9.484234488307765124e-03,3.371479147727799663e+00,-5.799983888166342361e-01,-6.146531602966721630e-01
-1.008677310098816005e+00,8.014354661838604121e-01,-1.542098213940946982e-01,-5.799983888166342361e-01,-6.146531602966721630e-01
-8.777964889606317822e-01,8.326160356317900968e-01,-1.935791673480915798e-01,-5.799983888166342361e-01,-6.146531602966721630e-01
-7.469156678224475598e-01,8.534030819304099236e-01,-2.695291972510104883e-01,-5.799983888166342361e-01,-6.146531602966721630e-01
-6.160348466842633375e-01,8.569263101166164631e-01,-2.363933310730631510e-01,-5.799983888166342361e-01,-6.146531602966721630e-01
-4.851540255460790596e-01,8.689052859497194969e-01,-1.986192832608038236e-02,-5.799983888166342361e-01,-6.146531602966721630e-01
-3.542732044078948372e-01,9.261577439755792618e-01,-2.667405352459357171e-01,-5.799983888166342361e-01,-6.146531602966721630e-01
-2.233923832697106149e-01,9.304913146446135430e-01,3.867906075904122276e-01,-5.799983888166342361e-01,-6.146531602966721630e-01
-9.251156213152639252e-02,1.075683548198193451e+00,-2.678888078362606229e-01,-5.799983888166342361e-01,-6.146531602966721630e-01
-7.469156678224475598e-01,1.081215016450538080e+00,3.721374209893947071e+00,-5.799983888166342361e-01,-6.146531602966721630e-01
-9.251156213152639252e-02,-1.074507381561922159e+00,-2.747784433782100577e-01,-5.799983888166342361e-01,-6.146531602966721630e-01
3.836925900665783679e-02,-1.078840952230956329e+00,-1.169729816792726557e-01,-5.799983888166342361e-01,-6.146531602966721630e-01
3.836925900665783679e-02,-1.115905312749851275e+00,1.561518558765806197e-01,-5.799983888166342361e-01,-6.146531602966721630e-01
1.692500801448420522e-01,-9.572895798068236095e-01,-2.482041348592622099e-01,-5.799983888166342361e-01,-6.146531602966721630e-01
3.001309012830262746e-01,-9.664499730909611452e-01,-2.045697764269157060e-01,-5.799983888166342361e-01,-6.146531602966721630e-01
-7.469156678224475598e-01,-9.837137912033742104e-01,-2.355731363656882182e-01,-5.799983888166342361e-01,-6.146531602966721630e-01
3.836925900665783679e-02,-9.943187080438564696e-01,-1.041779442442236636e-01,-5.799983888166342361e-01,-6.146531602966721630e-01
4.310117224212104969e-01,-7.799655051950380447e-01,-2.736301707878852074e-01,-5.799983888166342361e-01,-6.146531602966721630e-01
3.836925900665783679e-02,-7.826783908984171756e-01,-1.409226671346207604e-01,-5.799983888166342361e-01,-6.146531602966721630e-01
-7.469156678224475598e-01,-8.145988382654502091e-01,-2.690370804265855287e-01,-5.799983888166342361e-01,-6.146531602966721630e-01
3.836925900665783679e-02,-8.187914798070362599e-01,7.204497017292461544e-03,-5.799983888166342361e-01,-6.146531602966721630e-01
5.618925435593947748e-01,-8.818220320582751404e-01,-2.357371753071632048e-01,-5.799983888166342361e-01,-6.146531602966721630e-01
5.618925435593947748e-01,-8.943647244011710962e-01,-2.678888078362606229e-01,-5.799983888166342361e-01,-6.146531602966721630e-01
6.927733646975789972e-01,-6.477035190848366986e-01,-1.369857325392210834e-01,-5.799983888166342361e-01,-6.146531602966721630e-01
8.236541858357632195e-01,-6.797296632974560993e-01,-2.714976645487103268e-01,-5.799983888166342361e-01,-6.146531602966721630e-01
-7.469156678224475598e-01,-6.844860213488351830e-01,-2.486962516836871695e-01,-5.799983888166342361e-01,-6.146531602966721630e-01
-2.233923832697106149e-01,-6.922723556403520551e-01,-1.538817435111447252e-01,-5.799983888166342361e-01,-6.146531602966721630e-01
8.236541858357632195e-01,-7.206343425393163526e-01,-2.700213140754355035e-01,-5.799983888166342361e-01,-6.146531602966721630e-01
9.545350069739474419e-01,-7.240518738799369691e-01,5.723637416716346321e-02,-5.799983888166342361e-01,-6.146531602966721630e-01
-7.469156678224475598e-01,-5.438739844373239318e-01,-2.670686131288856902e-01,-5.799983888166342361e-01,-6.146531602966721630e-01
-9.251156213152639252e-02,-5.478552322877375813e-01,-2.509927968643370089e-01,-5.799983888166342361e-01,-6.146531602966721630e-01
1.085415828112131775e+00,-5.558881925522889400e-01,-2.404943046099378423e-01,-5.799983888166342361e-01,-6.146531602966721630e-01
1.216296649250315998e+00,-5.657884637555297136e-01,-2.672326520703606767e-01,-5.799983888166342361e-01,-6.146531602966721630e-01
-7.469156678224475598e-01,-5.695935501966331582e-01,4.094279815139604262e-01,-5.799983888166342361e-01,-6.146531602966721630e-01
3.836925900665783679e-02,-4.655526218579479347e-01,3.115418247264055765e-02,-5.799983888166342361e-01,-6.146531602966721630e-01
1.347177470388500220e+00,-2.805126775183696131e-01,-1.832447140351673442e-01,-5.799983888166342361e-01,-6.146531602966721630e-01
3.836925900665783679e-02,-3.038364481110581994e-01,-1.569984833991694695e-01,-5.799983888166342361e-01,-6.146531602966721630e-01
3.836925900665783679e-02,-3.343476042036086504e-01,4.371505626232331521e-01,-5.799983888166342361e-01,-6.146531602966721630e-01
3.836925900665783679e-02,-2.370008094187162351e-01,-1.797998962641926546e-01,-5.799983888166342361e-01,-6.146531602966721630e-01
-2.233923832697106149e-01,-2.602893477295428193e-01,-1.989924524167661080e-01,-5.799983888166342361e-01,-6.146531602966721630e-01
-8.777964889606317822e-01,-2.680501582962172696e-02,-2.673966910118356632e-01,-5.799983888166342361e-01,-6.146531602966721630e-01
