Activity,Start time,Duration,Day of activity,Weekend or weekday
-1.042412779332186012e+00,7.884730799987356153e-01,-8.654061908974350348e-02,-5.771640535443648412e-01,-6.105210389409310157e-01
-9.109701871922255556e-01,8.193685758898127114e-01,-1.345255601722211702e-01,-5.771640535443648412e-01,-6.105210389409310157e-01
-7.795275950522650987e-01,8.399655731505307754e-01,-2.270965090105010187e-01,-5.771640535443648412e-01,-6.105210389409310157e-01
-6.480850029123047529e-01,8.434565896353981573e-01,-1.867091835994156290e-01,-5.771640535443648412e-01,-6.105210389409310157e-01
-5.166424107723442960e-01,8.553260456839475445e-01,7.720799235421160756e-02,-5.771640535443648412e-01,-6.105210389409310157e-01
-3.851998186323839501e-01,9.120550635630439995e-01,-2.236975756838254781e-01,-5.771640535443648412e-01,-6.105210389409310157e-01
-2.537572264924235488e-01,9.163490138394310147e-01,5.728524462853039623e-01,-5.771640535443648412e-01,-6.105210389409310157e-01
-1.223146343524631197e-01,1.060213803180819481e+00,-2.250971364653977513e-01,-5.771640535443648412e-01,-6.105210389409310157e-01
-7.795275950522650987e-01,1.065694699062061490e+00,4.637176955971162862e+00,-5.771640535443648412e-01,-6.105210389409310157e-01
-1.223146343524631197e-01,-1.070318647368948550e+00,-2.334945011548313354e-01,-5.771640535443648412e-01,-6.105210389409310157e-01
9.127957787497276501e-03,-1.074612597645335343e+00,-4.115486231590000793e-02,-5.771640535443648412e-01,-6.105210389409310157e-01
9.127957787497276501e-03,-1.111338091066141009e+00,2.917406664437889319e-01,-5.771640535443648412e-01,-6.105210389409310157e-01
1.405705499274576831e-01,-9.541725289174077806e-01,-2.011046659241589318e-01,-5.771640535443648412e-01,-6.105210389409310157e-01
2.720131420674180567e-01,-9.632491717780631291e-01,-1.479213562244128533e-01,-5.771640535443648412e-01,-6.105210389409310157e-01
-7.795275950522650987e-01,-9.803551525539138112e-01,-1.857094973268640092e-01,-5.771640535443648412e-01,-6.105210389409310157e-01
9.127957787497276501e-03,-9.908631121733648683e-01,-2.555975646409475166e-02,-5.771640535443648412e-01,-6.105210389409310157e-01
4.034557342073784580e-01,-7.784696692340280499e-01,-2.320949403732591176e-01,-5.771640535443648412e-01,-6.105210389409310157e-01
9.127957787497276501e-03,-7.811577519273760206e-01,-7.034570147440726007e-02,-5.771640535443648412e-01,-6.105210389409310157e-01
-7.795275950522650987e-01,-8.127863612802751492e-01,-2.264966972469700246e-01,-5.771640535443648412e-01,-6.105210389409310157e-01
9.127957787497276501e-03,-8.169406708972674069e-01,1.101976393484150191e-01,-5.771640535443648412e-01,-6.105210389409310157e-01
5.348983263473389149e-01,-8.793949558115465859e-01,-1.859094345813743221e-01,-5.771640535443648412e-01,-6.105210389409310157e-01
5.348983263473389149e-01,-8.918229744976747808e-01,-2.250971364653977513e-01,-5.771640535443648412e-01,-6.105210389409310157e-01
6.663409184872992608e-01,-6.474169103921031398e-01,-6.554720736615951560e-02,-5.771640535443648412e-01,-6.105210389409310157e-01
7.977835106272597177e-01,-6.791502502395485585e-01,-2.294957560646248840e-01,-5.771640535443648412e-01,-6.105210389409310157e-01
-7.795275950522650987e-01,-6.838631224941196241e-01,-2.017044776876898982e-01,-5.771640535443648412e-01,-6.105210389409310157e-01
-2.537572264924235488e-01,-6.915782689256766425e-01,-8.614074458072283613e-02,-5.771640535443648412e-01,-6.105210389409310157e-01
7.977835106272597177e-01,-7.196809516288598108e-01,-2.276963207740319850e-01,-5.771640535443648412e-01,-6.105210389409310157e-01
9.292261027672200635e-01,-7.230672376191813466e-01,1.711785019740637293e-01,-5.771640535443648412e-01,-6.105210389409310157e-01
-7.795275950522650987e-01,-5.445366545830589988e-01,-2.240974501928461593e-01,-5.771640535443648412e-01,-6.105210389409310157e-01
-1.223146343524631197e-01,-5.484815032109591204e-01,-2.045035992508344447e-01,-5.771640535443648412e-01,-6.105210389409310157e-01
1.060668694907180409e+00,-5.564410207964569643e-01,-1.917076149621737280e-01,-5.771640535443648412e-01,-6.105210389409310157e-01
1.192111287047140866e+00,-5.662507771189344563e-01,-2.242973874473564722e-01,-5.771640535443648412e-01,-6.105210389409310157e-01
-7.795275950522650987e-01,-5.700210749225914642e-01,6.004437874077286352e-01,-5.771640535443648412e-01,-6.105210389409310157e-01
9.127957787497276501e-03,-4.669313581244550759e-01,1.393884785069222643e-01,-5.771640535443648412e-01,-6.105210389409310157e-01
1.323553879187101323e+00,-2.835831723392155945e-01,-1.219295131380707525e-01,-5.771640535443648412e-01,-6.105210389409310157e-01
9.127957787497276501e-03,-3.066937014690381824e-01,-8.993955241641897469e-02,-5.771640535443648412e-01,-6.105210389409310157e-01
9.127957787497276501e-03,-3.369259042279905136e-01,6.342331834199732565e-01,-5.771640535443648412e-01,-6.105210389409310157e-01
9.127957787497276501e-03,-2.404691187511022732e-01,-1.177308307933539605e-01,-5.771640535443648412e-01,-6.105210389409310157e-01
-2.537572264924235488e-01,-2.635447377160762827e-01,-1.411234895710618553e-01,-5.771640535443648412e-01,-6.105210389409310157e-01
-9.109701871922255556e-01,-3.219507526390909952e-02,-2.244973247018667850e-01,-5.771640535443648412e-01,-6.105210389409310157e-01
-1.042412779332186012e+00,8.342752162801968518e-01,-1.043350347411622775e-01,-4.575980987180393311e-02,-6.105210389409310157e-01
1.454996471327061780e+00,8.589916129930584843e-01,-1.515202268055986512e-01,-4.575980987180393311e-02,-6.105210389409310157e-01
1.323553879187101323e+00,8.768307072307311989e-01,-1.781118816554717044e-01,-4.575980987180393311e-02,-6.105210389409310157e-01
-9.109701871922255556e-01,8.894332767411028406e-01,-2.055032855233860367e-01,-4.575980987180393311e-02,-6.105210389409310157e-01
1.586439063467022015e+00,8.968691418538704552e-01,-2.198987678481293395e-01,-4.575980987180393311e-02,-6.105210389409310157e-01
4.034557342073784580e-01,9.025944088890531791e-01,-2.324948148822797434e-01,-4.575980987180393311e-02,-6.105210389409310157e-01
-2.537572264924235488e-01,9.062948863630125862e-01,-2.196988305936190267e-01,-4.575980987180393311e-02,-6.105210389409310157e-01
-7.795275950522650987e-01,9.108681179581890053e-01,-2.234976384293151652e-01,-4.575980987180393311e-02,-6.105210389409310157e-01
-9.109701871922255556e-01,9.155460800479114924e-01,-2.270965090105010187e-01,-4.575980987180393311e-02,-6.105210389409310157e-01
-6.480850029123047529e-01,9.190720066976275637e-01,-2.053033482688757239e-01,-4.575980987180393311e-02,-6.105210389409310157e-01
-5.166424107723442960e-01,9.279740987340395764e-01,-1.595177169860116095e-01,-4.575980987180393311e-02,-6.105210389409310157e-01
-2.537572264924235488e-01,9.430552899486670526e-01,4.988756621164842642e-01,-4.575980987180393311e-02,-6.105210389409310157e-01
-1.223146343524631197e-01,1.074526970768776124e+00,-1.997051051425866586e-01,-4.575980987180393311e-02,-6.105210389409310157e-01
-7.795275950522650987e-01,1.088351396048851116e+00,-2.286960070465836048e-01,-4.575980987180393311e-02,-6.105210389409310157e-01
-2.537572264924235488e-01,1.093518100446455144e+00,-1.063344072862655171e-01,-4.575980987180393311e-02,-6.105210389409310157e-01
-7.795275950522650987e-01,1.120049825731447957e+00,-2.314951286097281513e-01,-4.575980987180393311e-02,-6.105210389409310157e-01
-7.795275950522650987e-01,1.123401201556920803e+00,2.249726199863388398e+00,-4.575980987180393311e-02,-6.105210389409310157e-01
4.034557342073784580e-01,-1.467875604665656031e+00,-2.240974501928461593e-01,-4.575980987180393311e-02,-6.105210389409310157e-01
9.127957787497276501e-03,-1.473007398898410925e+00,-1.601175287495425759e-01,-4.575980987180393311e-02,-6.105210389409310157e-01
9.127957787497276501e-03,-1.490532301652445435e+00,-1.301269405729940376e-01,-4.575980987180393311e-02,-6.105210389409310157e-01
