Damping,Preference,Original Score,Score,Weighted Score,Annotations,Avg Annotations
0.5,-200,0.19305726889824504,0.18622887675071867,0.17313077908591812,622,42.2
0.5,-190,0.19213111283757278,0.19022882459165621,0.17735667412762082,606,40.6
0.5,-180,0.19396329190003325,0.189540676123811,0.17646236947126806,614,41.4
0.5,-170,0.20047879164635996,0.2001452162858835,0.18528258078020957,601,44.55555555555556
0.5,-160,0.19497603639223904,0.19400600636043686,0.17952740995983388,603,44.77777777777778
0.5,-150,0.19816839701374417,0.1930211659224781,0.17815138721437607,616,46.22222222222222
0.5,-140,0.2008124525341878,0.2008124525341878,0.18168745705474135,600,57.142857142857146
0.5,-130,0.20056905649714174,0.2002353309455658,0.18350733767282168,601,50.125
0.5,-120,0.20472546584075987,0.19559757882875148,0.17234320001244438,628,71.33333333333333
0.5,-110,0.20610311336403792,0.20406248847924546,0.18433644792625173,606,58.0
0.5,-100,0.1991574178252211,0.1896737312621153,0.17025475401385112,630,61.42857142857143
0.5,-90,0.2051766255535661,0.20017231761323523,0.17709689766615394,615,69.16666666666667
0.5,-80,0.2036569984723566,0.19303980897853706,0.1698214097319519,633,72.16666666666667
0.5,-70,0.21232839959216684,0.20714965813869937,0.17849395542951263,615,83.0
0.5,-60,0.2125882960856101,0.19684101489408343,0.16744609000323363,648,89.6
0.5,-50,0.2256334302315941,0.21252756379741988,0.173829836555973,637,109.25
0.5,-40,0.2311138772185203,0.2284486430496082,0.1767938665378357,607,135.66666666666666
0.5,-30,0.2376786189092451,0.2081856515993388,0.1520911843628503,685,161.66666666666666
0.5,-20,0.25061497150119155,0.2138961349939046,0.12423800507562625,703,251.5
0.5,-10,0.2556865936457872,0.20080098977417843,0.012048059386450717,764,564.0
0.55,-200,0.19044486122006427,0.18855926853471708,0.1758000913638679,606,40.6
0.55,-190,0.19479272013603632,0.1931828629448294,0.1801430196960534,605,40.5
0.55,-180,0.19962967586034872,0.19700296959902833,0.1836067676662944,608,40.8
0.55,-170,0.1965915031600069,0.19210896074267775,0.178853442451433,614,41.4
0.55,-160,0.20212989102972936,0.2007912824798636,0.18576911986470346,604,44.888888888888886
0.55,-150,0.19855595362237122,0.19246134438355852,0.1775277696989824,619,46.55555555555556
0.55,-140,0.19363869989083232,0.1850051272842347,0.1703417579365213,628,47.55555555555556
0.55,-130,0.19707012695415527,0.1932060068177993,0.17662249123260484,612,51.5
0.55,-120,0.19918092181535157,0.1918275330484927,0.1749227316985943,623,52.875
0.55,-110,0.19838952410846797,0.19773042269946972,0.17880479652680617,602,57.42857142857143
0.55,-100,0.20066050063727858,0.18900518113401435,0.1693396420493562,637,62.42857142857143
0.55,-90,0.19866905087879094,0.19319518724031534,0.17081674471831215,617,69.5
0.55,-80,0.21437805600407409,0.20580293376391115,0.1815067540834494,625,70.83333333333333
0.55,-70,0.2113862753427739,0.20792092656666286,0.17950506660255225,610,82.0
0.55,-60,0.21874628891217598,0.20604046051382352,0.17602723343230992,637,87.4
0.55,-50,0.2053487978380522,0.19251449797317394,0.1572201733447587,640,110.0
0.55,-40,0.22777238271502298,0.22257887561728631,0.17138573422531048,614,138.0
0.55,-30,0.23837981145312306,0.21064489966402627,0.15458995136454373,679,159.66666666666666
0.55,-20,0.25134553554285344,0.2109193305254714,0.12039978450828992,715,257.5
0.55,-10,0.2558718790516319,0.20016053120075508,0.01100882921604154,767,567.0
0.6,-200,0.19315149511315785,0.18631977020561852,0.17440659701974412,622,38.36363636363637
0.6,-190,0.196423314527922,0.19577074537666644,0.1826541054364298,602,40.2
0.6,-180,0.19468415264945702,0.19212251906196418,0.1790581877657506,608,40.8
0.6,-170,0.19708415498408072,0.19041947341457074,0.17705837369664837,621,42.1
0.6,-160,0.19830183614849797,0.19830183614849797,0.18361281124860923,600,44.44444444444444
0.6,-150,0.1933001222028755,0.1885854850759761,0.17409234131550758,615,46.111111111111114
0.6,-140,0.20338798159285662,0.19494055743724276,0.17956191346163805,626,47.333333333333336
0.6,-130,0.20342530570523365,0.20174410483163668,0.18472194598646735,605,50.625
0.6,-120,0.20572632286789896,0.19908998987216028,0.18166961575834625,620,52.5
0.6,-110,0.20499699665045382,0.20196748438468357,0.18229969840531796,609,58.42857142857143
0.6,-100,0.20298208421122035,0.1920966096636155,0.1722466266650419,634,62.0
0.6,-90,0.20213426287278682,0.1988205864322493,0.17617713075524313,610,68.33333333333333
0.6,-80,0.21294788961830788,0.20345339772449797,0.17926504932836324,628,71.33333333333333
0.6,-70,0.2061090769438417,0.2014095214434935,0.1736150074842914,614,82.8
0.6,-60,0.21134204948498359,0.19720875535146212,0.16808759581122956,643,88.6
0.6,-50,0.21430133893298706,0.2040965132695115,0.16752922130872402,630,107.5
0.6,-40,0.23737372031534773,0.23348234785116173,0.180300257507286,610,136.66666666666666
0.6,-30,0.24782478854364812,0.217390165389165,0.15893636536230063,684,161.33333333333334
0.6,-20,0.2509517052848573,0.21297174423043053,0.12299118229307363,707,253.5
0.6,-10,0.25595722505720325,0.19996658207594006,0.010664884377383473,768,568.0
0.65,-200,0.1933226365417715,0.18708642245977886,0.17518092284870201,620,38.18181818181818
0.65,-190,0.19256654927680603,0.18456857758160322,0.17265551484679065,626,38.72727272727273
0.65,-180,0.1921442203578781,0.1899283891511151,0.17704491342036446,607,40.7
0.65,-170,0.19866943125598674,0.19288294296697742,0.17944543127361132,618,41.8
0.65,-160,0.20236728166201942,0.201027100988761,0.18598729565552777,604,44.888888888888886
0.65,-150,0.19871308759830253,0.19261365518413814,0.1776682623096652,619,46.55555555555556
0.65,-140,0.2029704129135665,0.19610667914354252,0.18081762138068483,621,46.77777777777778
0.65,-130,0.19842470303639156,0.1951718390521884,0.1785009111331473,610,51.25
0.65,-120,0.19932512959348742,0.1928952867033749,0.1760169491168296,620,52.5
0.65,-110,0.20154619001725577,0.20087660134610208,0.1816498409315466,602,57.42857142857143
0.65,-100,0.2046148772840337,0.1942546303329434,0.17427415407012636,632,61.714285714285715
0.65,-90,0.20493078979300985,0.20493078979300985,0.18216070203823098,600,66.66666666666667
0.65,-80,0.2076208776869787,0.1964866350349956,0.17279907958911003,634,72.33333333333333
0.65,-70,0.20776410140981233,0.2017127198153518,0.1736074141877461,618,83.6
0.65,-60,0.21707702315317245,0.20414767067696468,0.17434211075812783,638,87.6
0.65,-50,0.22729849179675968,0.21785797935791662,0.17918818802188644,626,106.5
0.65,-40,0.2343556150797673,0.23241879181464525,0.18012456365635007,605,135.0
0.65,-30,0.24100150789758099,0.2120247870066695,0.15524926070821687,682,160.66666666666666
0.65,-20,0.2510100983737617,0.21453854561859978,0.12478992070148553,702,251.0
0.65,-10,0.25697862923059106,0.2012887435226562,0.011406362132950513,766,566.0
0.7,-200,0.18862385756478625,0.1799273681063144,0.168232089179404,629,39.0
0.7,-190,0.19526546474302114,0.19429399476917528,0.181243914787179,603,40.3
0.7,-180,0.19680607003481354,0.1948574950839738,0.1816721379166249,606,40.6
0.7,-170,0.1993382785762029,0.19574953706337436,0.1823406937745332,611,41.1
0.7,-160,0.2019503181248941,0.2019503181248941,0.1869910353008279,600,44.44444444444444
0.7,-150,0.19871877105870134,0.1941877241615974,0.17929999864254162,614,46.0
0.7,-140,0.19673591617636316,0.18856477588788803,0.1736891102345102,626,47.333333333333336
